filename,class,chart,diagram,none,table
image_웹툰추천_01_1_jpg,none,0.011339499615132809,0.0024137988220900297,0.9862467050552368,1.261424124876509e-11
image_웹툰추천_01_5_jpg,none,0.15506023168563843,0.029695682227611542,0.8152440786361694,2.4761157013664103e-10
image_웹툰추천_02_1_jpg,none,0.0001990984455915168,0.00022505088418256491,0.9995757937431335,1.3681319532138358e-13
image_웹툰추천_03_6_jpg,none,9.082757605938241e-05,0.23076891899108887,0.7691401839256287,9.953082980018735e-08
image_웹툰추천_04_4_jpg,table,0.00011664606427075341,0.09403634816408157,0.12956906855106354,0.7762778997421265
image_웹툰추천_04_5_jpg,table,5.4693956030860136e-08,3.334621169415186e-06,3.160567575832829e-05,0.9999649524688721
image_웹툰추천_04_6_jpg,table,0.0003200113424099982,0.04684233292937279,0.04305386170744896,0.9097838401794434
image_웹툰추천_05_4_jpg,table,0.0023681288585066795,0.06654515862464905,0.41380009055137634,0.5172866582870483
image_웹툰추천_05_7_jpg,table,0.00036834803177043796,0.11016923934221268,0.15040038526058197,0.7390620112419128
image_웹툰추천_05_8_jpg,none,0.00455652317032218,0.23299187421798706,0.4112491011619568,0.35120251774787903
image_웹툰추천_06_4_jpg,table,0.03216169402003288,0.0963556244969368,0.09744992107152939,0.7740327715873718
image_웹툰추천_07_5_jpg,diagram,1.3691862477571703e-05,0.6313453912734985,0.3686408996582031,3.2317036501424085e-15
image_웹툰추천_07_8_jpg,diagram,0.000550901226233691,0.8185098767280579,0.1809392124414444,4.6649875395975496e-14
image_웹툰추천_08_4_jpg,table,0.002975958865135908,0.18874648213386536,0.400350421667099,0.40792709589004517
image_웹툰추천_08_5_jpg,none,0.007046693470329046,0.10514717549085617,0.4718587100505829,0.4159473478794098
image_웹툰추천_09_5_jpg,diagram,0.0003853925736621022,0.8592926263809204,0.13622629642486572,0.004095672629773617
image_웹툰추천_10_4_jpg,table,7.607034058310091e-05,0.0006652323645539582,0.004876831546425819,0.994381844997406
image_웹툰추천_10_5_jpg,table,0.00015701241500210017,0.00018693541642278433,0.0016167480498552322,0.9980393052101135
image_웹툰추천_11_8_jpg,diagram,0.2964802086353302,0.691550612449646,0.011968659237027168,4.0377386767431744e-07
image_웹툰추천_12_4_jpg,table,0.011168359778821468,0.10350897163152695,0.31955191493034363,0.5657707452774048
image_웹툰추천_12_5_jpg,none,0.0007533550378866494,0.08853013068437576,0.5820605158805847,0.32865598797798157
image_웹툰추천_12_8_jpg,table,0.00028972383006475866,0.015502367168664932,0.21856847405433655,0.7656394839286804
image_웹툰추천_13_4_jpg,table,0.005438413470983505,0.10035566240549088,0.4072626531124115,0.4869433343410492
image_웹툰추천_13_5_jpg,table,0.0014570599887520075,0.04221373051404953,0.4097172021865845,0.546612024307251
image_웹툰추천_15_4_jpg,diagram,0.031738195568323135,0.44641104340553284,0.11930782347917557,0.40254300832748413
image_웹툰추천_16_5_jpg,none,0.0020229320507496595,0.3506760597229004,0.621377170085907,0.025923827663064003
image_웹툰추천_17_4_jpg,table,0.00020975548250135034,0.004264630377292633,0.05523227900266647,0.9402933716773987
image_웹툰추천_17_5_jpg,table,0.0062178755179047585,0.04568783938884735,0.4391764998435974,0.5089177489280701
image_웹툰추천_17_6_jpg,table,0.004140249453485012,0.060946427285671234,0.3518352508544922,0.5830780863761902
image_웹툰추천_18_3_jpg,none,0.0001141733955591917,0.013429803773760796,0.9864559173583984,1.59515920472586e-07
image_웹툰추천_18_5_jpg,table,0.02353017032146454,0.15560679137706757,0.10785721242427826,0.7130058407783508
image_웹툰추천_19_3_jpg,none,0.00010383669723523781,0.008807594887912273,0.9910879731178284,5.456514031720872e-07
image_웹툰추천_19_5_jpg,table,0.07061411440372467,0.2403825968503952,0.18557439744472504,0.5034288763999939
image_웹툰추천_22_1_jpg,none,0.027263322845101357,0.0020025859121233225,0.9707340598106384,8.207334985244064e-12
image_웹툰추천_22_4_jpg,none,0.1402638852596283,0.02853831835091114,0.8311977982521057,2.7385882450658983e-10
