filename,class,chart,diagram,none,table
image_거짓말탐지기_03_3_jpg,table,0.0004289915377739817,0.004306808114051819,0.046895287930965424,0.9483689665794373
image_거짓말탐지기_05_2_jpg,none,0.0458839125931263,0.13046866655349731,0.8236474394798279,3.8330792533070035e-12
image_거짓말탐지기_06_3_jpg,table,0.0006691673188470304,0.0011465766001492739,0.01430589985102415,0.9838783740997314
image_거짓말탐지기_12_4_jpg,table,0.006198357790708542,0.024804940447211266,0.19160133600234985,0.7773953676223755
image_거짓말탐지기_12_8_jpg,table,0.000224630581215024,0.019535040482878685,0.05802496150135994,0.9222154021263123
image_거짓말탐지기_13_7_jpg,none,0.0023458427749574184,0.04287152737379074,0.9547826647758484,1.2408351679482621e-08
image_거짓말탐지기_14_4_jpg,table,4.1777981095947325e-05,0.011230099946260452,0.14274773001670837,0.8459804058074951
image_거짓말탐지기_16_4_jpg,table,0.01748477853834629,0.14850249886512756,0.10819689184427261,0.7258158326148987
image_거짓말탐지기_16_9_jpg,table,0.0052782585844397545,0.015551505610346794,0.09059739112854004,0.8885728716850281
image_거짓말탐지기_17_12_jpg,table,0.002517226617783308,0.04372592270374298,0.09059017151594162,0.8631666898727417
image_거짓말탐지기_18_4_jpg,none,5.137533662491478e-06,0.06359056383371353,0.9363893866539001,1.4845715668343473e-05
image_거짓말탐지기_18_7_jpg,table,0.01779654249548912,0.07245105504989624,0.4518865644931793,0.4578658640384674
image_거짓말탐지기_21_3_jpg,diagram,0.0002491755585651845,0.7122770547866821,0.24005445837974548,0.047419287264347076
image_거짓말탐지기_22_3_jpg,table,0.0012878554407507181,0.09750804305076599,0.20956720411777496,0.6916369199752808
image_거짓말탐지기_23_4_jpg,none,0.0038790684193372726,0.4797423779964447,0.5158175826072693,0.0005609890213236213
image_거짓말탐지기_24_10_jpg,diagram,0.0077699157409369946,0.4946717619895935,0.08181115984916687,0.41574713587760925
image_거짓말탐지기_24_9_jpg,table,0.009237588383257389,0.30112922191619873,0.006203423719853163,0.6834297776222229
image_거짓말탐지기_26_10_jpg,none,9.267366607446093e-08,0.14480797946453094,0.8551918864250183,1.3361478146123318e-08
image_거짓말탐지기_26_5_jpg,table,0.00016974589379969984,0.018625307828187943,0.18759053945541382,0.793614387512207
image_거짓말탐지기_27_5_jpg,table,0.0010503544472157955,0.006748308427631855,0.07312722504138947,0.9190741181373596
image_거짓말탐지기_30_2_jpg,none,5.361187535579681e-11,0.007665141485631466,0.99233478307724,9.978284610254531e-14
image_거짓말탐지기_30_3_jpg,none,1.2153825991845224e-05,0.039226699620485306,0.9593391418457031,0.0014219873119145632
